,mean,std
sub-01,68.11429699811978,12.445874273032423
sub-02,82.91598889704537,11.509508992853661
sub-03,78.64580573125794,11.432517473599372
sub-04,70.14005794903848,14.23212057143393
sub-05,80.99979946894136,10.69215195661304
joint,88.1802894662662,7.9307818512465404
ensemble,67.04567545810657,6.987146414404535
finetuned_sub-06,77.55815525564455,11.934711469321464
finetuned_sub-07,81.54785763328323,10.157139875611929
finetuned_sub-08,73.60015384357088,12.13473589338035
finetuned_sub-09,68.43775432569065,9.412277526381185
finetuned_sub-10,83.87139702510187,8.083512933854372
finetuned_sub-11,83.95385046334219,8.0857592966197
